,batting_team,bowling_team,wicket_fallen,score,target,runs_prev_5,wick_prev_5,balls_left,venue,req
54485,MI,SRH,3,86,172,43.0,0.0,42,Others,86
65662,RPS,MI,0,57,121,49.0,0.0,83,Wankhede Stadium,64
23118,RCB,KXIP,0,19,181,38.45717232572607,1.3591565436626174,101,"Punjab Cricket Association Stadium, Mohali",162
21476,MI,KKR,0,57,155,41.0,0.0,84,Others,98
60210,RR,MI,3,140,164,55.0,2.0,20,Others,24
36195,KXIP,PWI,1,7,115,38.45717232572607,1.3591565436626174,112,"Punjab Cricket Association Stadium, Mohali",108
50430,RR,CSK,3,19,141,19.0,3.0,89,Sawai Mansingh Stadium,122
54200,KXIP,RCB,2,37,124,27.0,2.0,80,Others,87
48965,KXIP,RCB,1,97,174,48.0,0.0,51,M Chinnaswamy Stadium,77
4415,RPS,KKR,1,16,155,38.45717232572607,1.3591565436626174,104,Eden Gardens,139
41043,PWI,RCB,2,10,173,38.45717232572607,1.3591565436626174,108,Subrata Roy Sahara Stadium,163
52479,KXIP,CSK,2,44,205,38.45717232572607,1.3591565436626174,94,Others,161
21209,DC,HDC,0,34,171,38.45717232572607,1.3591565436626174,99,Others,137
26190,RCB,MI,5,98,184,41.0,3.0,49,Dr DY Patil Sports Academy,86
23031,HDC,KKR,2,79,181,38.0,1.0,65,Eden Gardens,102
7153,RR,KXIP,1,8,166,38.45717232572607,1.3591565436626174,109,Sawai Mansingh Stadium,158
35674,MI,HDC,2,48,138,33.0,0.0,61,Others,90
27429,MI,RCB,1,87,140,43.0,0.0,51,M Chinnaswamy Stadium,53
35093,KXIP,RR,5,93,191,38.0,2.0,45,Sawai Mansingh Stadium,98
22557,KKR,DC,4,54,177,26.0,1.0,62,Feroz Shah Kotla,123
50346,KKR,RCB,3,62,115,31.0,1.0,55,Others,53
35481,KKR,RR,8,132,164,52.0,2.0,10,Sawai Mansingh Stadium,32
16488,KXIP,CSK,1,21,185,38.45717232572607,1.3591565436626174,103,Others,164
